word,freq
"('nice', 'and')",59
,
"('and', 'quiet')",8
,
"('quiet', '')",28
,
"('', 'They')",485
,
"('They', 'have')",119
,
"('have', 'comfy')",1
,
"('comfy', 'couches')",2
,
"('couches', 'if')",1
,
"('if', 'you')",214
,
"('you', 're')",146
,
"('re', 'just')",5
,
"('just', 'coming')",1
,
"('coming', 'to')",6
,
"('to', 'read')",8
,
"('read', 'or')",3
,
"('or', 'hang')",6
,
"('hang', 'out')",49
,
"('out', '')",129
,
"('', 'The')",1206
,
"('The', 'employees')",4
,
"('employees', 'that')",1
,
"('that', 'work')",5
,
"('work', 'here')",12
,
"('here', 'are')",17
,
"('are', 'super')",24
,
"('super', 'friendly')",40
,
"('friendly', 'and')",105
,
"('and', 'helpful')",25
,
"('helpful', '')",24
,
"('', 'They')",485
,
"('They', 'are')",18
,
"('are', 'accommodating')",1
,
"('accommodating', 'of')",1
,
"('of', 'customer')",4
,
"('customer', 'requests')",1
,
"('requests', 'and')",1
,
"('and', 'are')",11
,
"('are', 'knowledgeable')",2
,
"('knowledgeable', 'of')",2
,
"('of', 'the')",422
,
"('the', 'menu')",36
,
"('menu', '')",45
,
"('', 'The')",1206
,
"('The', 'only')",41
,
"('only', 'issue')",2
,
"('issue', 'I')",4
,
"('I', 'sometimes')",5
,
"('sometimes', 'have')",1
,
"('have', 'with')",3
,
"('with', 'Monkey')",1
,
"('Monkey', 'Nest')",36
,
"('Nest', '')",10
,
"('', 'is')",60
,
"('is', 'that')",52
,
"('that', 'it')",48
,
"('it', 'can')",12
,
"('can', 'get')",43
,
"('get', 'really')",1
,
"('really', 'crowded')",1
,
"('crowded', '')",14
,
"('', 'There')",218
,
"('There', 'have')",1
,
"('have', 'been')",60
,
"('been', 'a')",18
,
"('a', 'couple')",51
,
"('couple', 'times')",2
,
"('times', 'I')",8
,
"('I', 've')",317
,
"('ve', 'had')",69
,
"('had', 'to')",31
,
"('to', 'leave')",9
,
"('leave', 'because')",1
,
"('because', 'I')",51
,
"('I', 'couldn')",18
,
"('couldn', 't')",33
,
"('t', 'find')",12
,
"('find', 'a')",38
,
"('a', 'spot')",22
,
"('spot', '')",85
,
"('', 'Other')",13
,
"('Other', 'than')",10
,
"('than', 'that')",11
,
"('that', '')",69
,
"('', 'I')",2231
,
"('I', 'love')",151
,
"('love', 'coming')",5
,
"('coming', 'here')",33
,
"('here', '')",271
,
"('', '')",9435
,
"('check', 'ins')",217
,
"('ins', 'I')",30
,
"('I', 'm')",410
,
"('m', 'a')",43
,
"('a', 'big')",35
,
"('big', 'fan')",14
,
"('fan', 'of')",40
,
"('of', 'Monkeys')",1
,
"('Monkeys', 'Nest')",1
,
"('Nest', 'for')",2
,
"('for', 'many')",2
,
"('many', 'reasons')",1
,
"('reasons', '')",2
,
"('', 'It')",581
,
"('It', 's')",289
,
"('s', 'in')",14
,
"('in', 'my')",68
,
"('my', 'neighborhood')",5
,
"('neighborhood', '')",29
,
"('', 'They')",485
,
"('They', 'have')",119
,
"('have', 'great')",14
,
"('great', 'coffee')",66
,
"('coffee', 'and')",202
,
"('and', 'specialty')",1
,
"('specialty', 'drinks')",3
,
"('drinks', 'like')",1
,
"('like', 'a')",66
,
"('a', 'spicy')",1
,
"('spicy', 'money')",1
,
"('money', 'mocha')",1
,
"('mocha', 'and')",15
,
"('and', 'espresso')",8
,
"('espresso', 'milk')",2
,
"('milk', 'shakes')",2
,
"('shakes', '')",2
,
"('', 'I')",2231
,
"('I', 'like')",82
,
"('like', 'the')",54
,
"('the', 'breakfast')",7
,
"('breakfast', 'tacos')",66
,
"('tacos', 'and')",14
,
"('and', 'the')",378
,
"('the', 'sandwiches')",2
,
"('sandwiches', '')",26
,
"('', 'The')",1206
,
"('The', 'people')",12
,
"('people', 'are')",15
,
"('are', 'friendly')",17
,
"('friendly', '')",114
,
"('', 'There')",218
,
